"AwardCeremony","FilmID","FilmName","Year","Rated","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Service","AFISilver","Theater","Watchlist","Nominations","Losses","Wins"
"20-1948","tt0039431","Good News",1947,"Approved","93 min","Comedy, Musical, Romance","Charles Walters","Lew Brown, Laurence Schwab, Frank Mandel","June Allyson, Peter Lawford, Patricia Marshall","Golden Globe-winner June Allyson and Peter Lawford star in this enjoyable musical about a football hero who falls in love with his French tutor.","English, French","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMjI5MzUzOTUyM15BMl5BanBnXkFtZTgwOTI1OTgwMzE@._V1_SX300.jpg","N/A","6.9","2,570","tt0039431","movie",NA,NA,NA,NA,"6.9/10",NA,"100%",NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039432","Goodbye, Miss Turlock",1948,"Passed","11 min","Short, Family","Edward L. Cahn","John Nesbitt","John Nesbitt, Nana Bryant, Fred Fisher","Oscar-winning short film has an adult looking back fondly at his childhood when he was taught in a one-room schoolhouse by Miss Turlock, a stern, but caring and respected teacher.","English","United States","Won 1 Oscar. 1 win total","https://m.media-amazon.com/images/M/MV5BZjFmMzE5NTUtOTQ0Ni00NjBlLTkzNjgtNzhmYWFhZThkNTcxXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.6","207","tt0039432","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"20-1948","tt0039437","Green Dolphin Street",1947,"Approved","141 min","Adventure, Romance, Drama","Victor Saville","Samson Raphaelson, Elizabeth Goudge, Carey Wilson","Van Heflin, Lana Turner, Donna Reed","A young man, loved by two sisters, becomes a naval officer and sails to New Zealand, where he drunkenly writes a marriage proposal to the wrong sister, profoundly affecting the life of the other.","Maori, English","United States","Won 1 Oscar. 1 win & 3 nominations total","https://m.media-amazon.com/images/M/MV5BYjc1ZjVhZmMtY2RlYy00ZGE0LWE2YjQtZjM4YzY5MThiMmVmXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","6.8","1,580","tt0039437","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,"Prime Rentals",NA,NA,NA,4,3,1
"20-1948","tt0039502","It Happened on Fifth Avenue",1947,"Passed","116 min","Comedy, Music, Romance","Roy Del Ruth","Everett Freeman, Vick Knight, Herbert Clyde Lewis","Don DeFore, Ann Harding, Charles Ruggles","Two homeless men move into a mansion while its owners are wintering in the South.","English, Spanish","United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BYjA5ZGUxZWEtYTYyYS00YTZiLWJiODktY2NiYzBlZGE5ZGY0XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg","66","7.7","4,917","tt0039502","movie",NA,NA,NA,NA,"7.7/10","66/100",NA,7,"2021-12-08",NA,NA,NA,NA,1,1,0
"20-1948","tt0039517","Journey Into Medicine",1947,"N/A","38 min","Documentary, Short","Willard Van Dyke","Irving Jacoby","N/A","Mike, a medical student starts at Columbia and then moves into pediatrics at a teaching hospital run by Cornell. He learns how new methods help children live longer. After this he went to Johns Hopkins to work in public health in Bal","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMmQ4ZWVlMTQtN2ViMC00MmFiLThkOGMtYjZkZDM3ZTcyYjRjXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.4","32","tt0039517","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"20-1948","tt0039536","Kiss of Death",1947,"Approved","99 min","Crime, Drama, Film-Noir","Henry Hathaway","Ben Hecht, Charles Lederer, Eleazar Lipsky","Victor Mature, Brian Donlevy, Coleen Gray","Nick Bianco is caught during a botched jewellery heist. The prosecution offer him a more lenient sentence if he squeals on his accomplices but he doesn't roll over on them. Three years into the sentence an event changes his mind.","English","United States","Nominated for 2 Oscars. 3 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BZWZkOTI2MTktZTQ5ZC00ZWFhLWE4ODItYjFlZWJkODZiY2M5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","N/A","7.4","8,157","tt0039536","movie",NA,NA,NA,NA,"7.4/10",NA,"88%",8,"2022-07-24",NA,"Y",NA,NA,2,2,0
"20-1948","tt0039566","Life with Father",1947,"Passed","118 min","Comedy, Family","Michael Curtiz","Clarence Day, Donald Ogden Stewart, Howard Lindsay","William Powell, Irene Dunne, Elizabeth Taylor","A straitlaced turn-of-the-century father presides over a family of boys and the mother who really rules the roost.","English, French","United States","Nominated for 4 Oscars. 2 wins & 4 nominations total","https://m.media-amazon.com/images/M/MV5BNDkxOGQxOWMtMTZjMS00MjhiLTkyN2MtZTZiYzI1NWUzMzViXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg","73","7.2","5,307","tt0039566","movie",NA,NA,NA,NA,"7.2/10","73/100","92%",7,"2023-06-15","Prime",NA,NA,NA,4,4,0
"20-1948","tt0039628","Miracle on 34th Street",1947,"Not Rated","96 min","Comedy, Drama, Family","George Seaton","George Seaton, Valentine Davies","Edmund Gwenn, Maureen O'Hara, John Payne","After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistak","English, Dutch","United States","Won 3 Oscars. 8 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BNjRkOGEwYTUtY2E5Yy00ODg4LTk2ZWItY2IyMzUxOGVhMTM1XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg","88","7.9","47,025","tt0039628","movie",NA,NA,NA,NA,"7.9/10","88/100","96%",7,"2021-07-09",NA,NA,NA,NA,4,1,3
"20-1948","tt0039631","Monsieur Verdoux",1947,"Passed","124 min","Comedy, Crime, Drama","Charles Chaplin","Charles Chaplin, Orson Welles","Charles Chaplin, Mady Correll, Allison Roddan","A suave but cynical man supports his family by marrying and murdering rich women for their money, but the job has some occupational hazards.","English","United States","Nominated for 1 Oscar. 5 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BZDhmZGU2OTMtYmFmMS00OGI0LWI5ZTItZmVkMWEyYjAyYjc5L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","7.9","17,046","tt0039631","movie",NA,NA,NA,NA,"7.9/10",NA,"97%",NA,NA,"Prime Rentals",NA,NA,"Y",1,1,0
"20-1948","tt0039633","Moon Rockets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039634","Mother Wore Tights",1947,"Approved","107 min","Drama, Musical","Walter Lang","Lamar Trotti, Miriam Young","Betty Grable, Dan Dailey, Mona Freeman","In this chronicle of a vaudeville family, Myrtle McKinley (class of 1900) goes to San Francisco to attend business school, but ends up in a chorus line. Soon, star Frank Burt notices her talent, hires her for a ""two-act"", then marrie","English","United States","Won 1 Oscar. 1 win & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMGMzMzk0YzItOTZjMi00MDhjLWJhM2YtNzM3MjZiMzU0ODdjXkEyXkFqcGdeQXVyNjA2ODA0Nzc@._V1_SX300.jpg","N/A","6.5","674","tt0039634","movie",NA,NA,NA,NA,"6.5/10",NA,NA,NA,NA,NA,NA,NA,NA,3,2,1
"20-1948","tt0039636","Mourning Becomes Electra",1947,"Approved","159 min","Drama","Dudley Nichols","Eugene O'Neill, Dudley Nichols","Rosalind Russell, Michael Redgrave, Raymond Massey","Eugene O'Neill's updated version of the Oresteia set in New England, after the American Civil War.","English","United States","Nominated for 2 Oscars. 2 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMWEyYjlmYjEtOGEwYy00ZDBiLTliZDUtZDE5OTJmNDc0ZDNlXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg","N/A","6.4","1,127","tt0039636","movie",NA,NA,NA,NA,"6.4/10",NA,"67%",NA,NA,NA,NA,NA,NA,2,2,0
"20-1948","tt0039647","My Wild Irish Rose",1947,"Approved","101 min","Biography, Musical","David Butler","Peter Milne, Rita Olcott, Sid Fields","Dennis Morgan, Andrea King, Arlene Dahl","The life of Irish tenor Chauncey Olcott is chronicled from his childhood to his days as the toast of New York. In between, his rise to the top is complicated by romances with two women: his true love Rose Donovan and stage star Lilli","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNzYzNzQzODg5Nl5BMl5BanBnXkFtZTcwMzY2NTk5Mw@@._V1_SX300.jpg","N/A","6.4","401","tt0039647","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039671","Now You See It",1947,"Approved","10 min","Documentary, Short","Richard L. Cassell","N/A","Pete Smith","This Pete Smith Specialty demonstrates the uses of micro- and macrophotography. We see extreme closeups of the mechanical workings of a tiny wristwatch, the surface of a cat's tongue, and several insects.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.9","102","tt0039671","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039677","Odd Man Out",1947,"Approved","116 min","Crime, Drama, Thriller","Carol Reed","F.L. Green, R.C. Sherriff","James Mason, Robert Newton, Cyril Cusack","A wounded Irish nationalist leader attempts to evade police following a failed robbery in Belfast.","English","United Kingdom","Nominated for 1 Oscar. 2 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BZGEzMmNlZmItNzA3Zi00MzYwLThlMWQtMjhmYzdiMGJiNDE2L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","N/A","7.7","9,879","tt0039677","movie",NA,NA,NA,NA,"7.7/10",NA,"100%",9,"2022-07-11","Prime Rentals",NA,NA,NA,1,1,0
"20-1948","tt0039694","The Paradine Case",1947,"Approved","125 min","Crime, Drama, Romance","Alfred Hitchcock","Robert Hichens, Alma Reville, David O. Selznick","Gregory Peck, Ann Todd, Charles Laughton","A happily married London barrister falls in love with the accused poisoner he is defending.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMjFlY2ZhNzQtZmY0MC00Y2IwLTg1MTEtZDFhMjgyNmQ1NjQ5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","N/A","6.5","11,030","tt0039694","movie",NA,NA,NA,NA,"6.5/10",NA,"77%",NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039697","Passport to Nowhere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039698","The Perils of Pauline",1947,"Passed","96 min","Drama","George Marshall","P.J. Wolfson, Frank Butler","Betty Hutton, John Lund, Billy De Wolfe","The real life story of actress Pearl White during her rise to fame in silent serials.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTgyNzkyYjctOWIxNC00YzZiLTlkZTUtMzIwOTA3Y2Q2MmNmXkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_SX300.jpg","N/A","6.5","1,159","tt0039698","movie",NA,NA,NA,NA,"6.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039711","Pluto's Blue Note",1947,"Approved","7 min","Animation, Comedy, Family","Charles A. Nichols","Milt Schaffer, Jack Huber","Billy Bletcher, Pinto Colvig, John Woodbury","Pluto wants to sing along with the birds, bee and cricket, but he is tone deaf.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNjE1NTk2MjctZWMxZC00YzkzLTg2N2ItN2E5MjAwNzcxM2FjXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","N/A","6.8","405","tt0039711","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039725","Possessed",1947,"Approved","108 min","Crime, Drama, Film-Noir","Curtis Bernhardt","Silvia Richards, Ranald MacDougall, Rita Weiman","Joan Crawford, Van Heflin, Raymond Massey","After being found wandering the streets of Los Angeles, a severely catatonic woman tells a doctor the complex story of how she wound up there.","English","United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTk0MTA0OTA5MF5BMl5BanBnXkFtZTgwMTg0NTgyMjE@._V1_SX300.jpg","N/A","7.1","5,295","tt0039725","movie",NA,NA,NA,NA,"7.1/10",NA,"83%",8,"2022-10-23",NA,"Y",NA,NA,1,1,0
"20-1948","tt0039768","Ride the Pink Horse",1947,"Passed","101 min","Drama, Film-Noir, Mystery","Robert Montgomery","Ben Hecht, Charles Lederer, Dorothy B. Hughes","Robert Montgomery, Thomas Gomez, Wanda Hendrix","WW2 veteran Lucky Gagin arrives in a New Mexico border-town intent on revenging against mobster Frank Hugo but FBI agent Bill Retz, who also wants Hugo, tries to keep Gagin out of trouble.","English, Spanish","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMjY1OTliNTItMjgwZS00ZmQyLTliZmYtN2IyN2FkNjExNTEwXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","N/A","7.3","2,963","tt0039768","movie",NA,NA,NA,NA,"7.3/10",NA,"100%",NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039776","Road to Rio",1947,"Approved","100 min","Adventure, Comedy, Musical","Norman Z. McLeod","Edmund Beloin, Jack Rose, Barney Dean","Bing Crosby, Bob Hope, Dorothy Lamour","Two inept vaudevillians stow away on a Brazilian-bound ocean liner and foil a plot by a sinister hypnotist to marry off her niece to a greedy fortune hunter.","Portuguese, English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNjhlZjJjNGYtYzcwYi00MWMxLTk3ODAtODI0NGNlOGYyYTJkXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg","N/A","7.0","3,274","tt0039776","movie",NA,NA,NA,NA,"7.0/10",NA,"100%",NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039802","School in the Mailbox",1947,"N/A","19 min","Documentary, Short","Stanley Hawes","Catherine Duncan (prepared the commentary)","N/A","In Australia, children live in the Outback, too far from others to travel to any school. The Australian government has a school with no student only teachers that correspond with their pupils and teach those children at their own pace.","N/A","Australia","N/A","N/A","N/A","6.5","24","tt0039802","movie",NA,NA,NA,NA,"6.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039840","Smash-Up: The Story of a Woman",1947,"Approved","103 min","Drama, Film-Noir, Music","Stuart Heisler","John Howard Lawson, Lionel Wiggam, Dorothy Parker","Susan Hayward, Lee Bowman, Marsha Hunt","A successful nightclub singer weds a struggling songwriter, but when his fame eclipses hers, she delves into alcoholism.","English","United States","Nominated for 2 Oscars. 2 nominations total","https://m.media-amazon.com/images/M/MV5BZGZkOGVkN2UtOTk4MC00NDQzLWJlY2EtNWYyZWY2NTQ0OTIzXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","6.4","1,452","tt0039840","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,"Y",2,2,0
"20-1948","tt0039843","So You Want to Be in Pictures",1947,"Approved","11 min","Comedy, Short","Richard L. Bare","Richard L. Bare","George O'Hanlon, Art Gilmore, Jack Carson","Aspiring actor Joe McDoakes blows his first part at Warner Brothers and has to settle for being a stand-in.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZDBmZmJlOTYtOTAzZS00MmI1LTkwNmQtYWRhZjJjOGY5ZGQwXkEyXkFqcGdeQXVyMDU4MTQ0Ng@@._V1_SX300.jpg","N/A","6.7","207","tt0039843","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039881","T-Men",1947,"Approved","92 min","Crime, Film-Noir, Thriller","Anthony Mann","John C. Higgins, Virginia Kellogg","Dennis O'Keefe, Wallace Ford, Alfred Ryder","Two US Treasury agents hunt a successful counterfeiting ring.","English, Italian","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMDM3OGUyNzYtNDA5Mi00MmM5LWEwOTgtYWE3NjQ1NDFmODZjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","N/A","6.9","3,526","tt0039881","movie",NA,NA,NA,NA,"6.9/10",NA,"100%",6,"2022-10-17",NA,"Y",NA,NA,1,1,0
"20-1948","tt0039919","Tubby the Tuba",1947,"Passed","10 min","Animation, Short, Comedy","George Pal","Paul Tripp","Victor Jory","In this puppetoon, the tuba is dissatisfied with his role in an orchestra of self-playing instruments; he meets a bullfrog who gives him some good advice.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTYwNzE3MTczMV5BMl5BanBnXkFtZTYwNjIzODg4._V1_SX300.jpg","N/A","7.0","287","tt0039919","movie",NA,NA,NA,NA,"7.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039923","Tweetie Pie",1947,"Approved","7 min","Animation, Family, Short","Friz Freleng","Tedd Pierce, Michael Maltese","Mel Blanc, Bea Benaderet","Thomas the cat finds Tweety in the snow, warming himself by a cigar butt. Thomas's mistress rescues the little yellow bird before her cat can devour him, but Thomas doesn't give up.","English","United States","Won 1 Oscar. 1 win total","https://m.media-amazon.com/images/M/MV5BNDU3YzQ3M2YtMTRhOC00ODk1LWIyZTgtYmQ5NzY2NjRhOWVjXkEyXkFqcGdeQXVyNjc2NTQzMjU@._V1_SX300.jpg","N/A","7.2","1,338","tt0039923","movie",NA,NA,NA,NA,"7.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"20-1948","tt0039931","Unconquered",1947,"Passed","146 min","Adventure, Drama, History","Cecil B. DeMille","Charles Bennett, Fredric M. Frank, Jesse Lasky Jr.","Gary Cooper, Paulette Goddard, Howard Da Silva","Intrepid frontiersman Chris Holden foils the political and personal ambitions of renegade Martin Garth in the Ohio Valley following the French and Indian War.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYTQ2ZDJmMmEtMmUxNi00YWEzLTkzZDItY2Y5Y2VjMjNkOWRhXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","7.0","2,443","tt0039931","movie",NA,NA,NA,NA,"7.0/10",NA,"86%",NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0039968","A Voice Is Born",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"20-1948","tt0040004","The World Is Rich",1947,"N/A","46 min","Documentary","Paul Rotha","Arthur Calder-Marshall","N/A","An examination of the problems of world food distribution following World War II, outlining steps underway to deal with the problems.","English","United Kingdom","Nominated for 1 Oscar. 1 win & 1 nomination total","N/A","N/A","6.8","14","tt0040004","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"20-1948","tt0040285","Design for Death",1947,"Approved","48 min","Documentary","Richard Fleischer","Dr. Seuss, Helen Geisel","Kent Smith, Hans Conried","An Academy Award winner for best documentary, the film opens with a notice that...""Exhibition of confiscated Japanese film material authorized by permission of the Alien Property Custodian in the public interest under License No. LM","English","United States","Won 1 Oscar. 1 win total","https://m.media-amazon.com/images/M/MV5BZjcyZGFmNmQtOGE0YS00MDk3LWI3OTAtYTMxYWJmN2I1MGJkXkEyXkFqcGdeQXVyNTY2MzQ3MDE@._V1_SX300.jpg","N/A","6.3","40","tt0040285","movie",NA,NA,NA,NA,"6.3/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,0,1
"21-1949","tt0039648","Rhythm of a City",1947,"N/A","20 min","Documentary, Short","Arne Sucksdorff","Arne Sucksdorff","Mats Björne","A short impression of Stockholm.","Swedish, English","Sweden","Won 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYWUwOTNkZGUtMWViNC00MTljLWFmZTMtMmFkNTM0MTg0N2Q3XkEyXkFqcGdeQXVyMDk1ODM3MA@@._V1_SX300.jpg","N/A","6.9","128","tt0039648","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,0,1
"21-1949","tt0040101","Annie Was a Wonder",1949,"Passed","11 min","Short","Edward L. Cahn","John Nesbitt","Kathleen Freeman, Howard Negley, Ruth Lee","In this entry in the Passing Parade series, narrator John Nesbitt tells the story of Annie Swenson, who worked as a cook/housekeeper in the Nesbitt home when he was growing up. Annie was one of thousands of Scandinavian immigrant gir","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.4","216","tt0040101","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"21-1949","tt0040141","B.F.'s Daughter",1948,"Passed","108 min","Drama, Romance","Robert Z. Leonard","John P. Marquand, Luther Davis","Barbara Stanwyck, Van Heflin, Charles Coburn","Wealthy Polly Fulton marries a progressive scholar whose attitudes toward capitalism and acquired wealth puts their marriage in jeopardy.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZGM5OGQwODYtZDEyNS00MTA2LWJiYTgtNGIxZWM2YWMzNGQzXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg","N/A","6.2","735","tt0040141","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"21-1949","tt0040200","Calgary Stampede",1948,"Not Rated","18 min","Documentary, Short, Western","Saul Elkins","Herman Boxer","Art Gilmore","The pageantry of Calgary's colorful celebration of its past, culminating with its world famous rodeo, is chronicled.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNjNhNjQ0YzQtZTNhMS00NmRkLTkzNzMtNDUwOWE2ODI5ZWE5XkEyXkFqcGdeQXVyMjA5NjIxNDU@._V1_SX300.jpg","N/A","5.8","160","tt0040200","movie",NA,NA,NA,NA,"5.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
"21-1949","tt0040214","Casbah",1948,"Not Rated","94 min","Crime, Musical","John Berry","Leslie Bush-Fekete, Arnold Manoff, Erik Charell","Yvonne De Carlo, Tony Martin, Peter Lorre","The life, Loves and Adventures of a classic Casbah thief.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNWNmZTZhODMtMzcxNy00YjgwLWIyYzItNGRjOGFlYjZiMjc3XkEyXkFqcGdeQXVyNTk1MTk0MDI@._V1_SX300.jpg","N/A","6.0","483","tt0040214","movie",NA,NA,NA,NA,"6.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0
